factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
ABD_A	-7.80231253726167	6.47464254648807	-20.6626383440705	-3.62750156874815	0.547309399765379	4.7221203682789	41	2	28	-9.18720954576346	6.09277656557305	8	2	1	4.8780487804878	4.8780487804878	2.4390243902439	63.4146341463415	4.72	0
ANTP	-6.63890192846158	6.03484905131389	-13.6474677274092	-3.17502919746873	0.288843533524128	3.75271626451698	12	0	2	2.52174187390924	6.03484905131389				0.0	0.0	0.0	16.6666666666667	3.75	0
AP	-5.79975441739929	5.54484125546082	-12.7638443718932	-2.53215700573336	0.735440405932581	4.00303781759852	14	0	8	-0.020214005312358	5.54484125546082				0.0	0.0	0.0	57.1428571428571	4.0	0
BCD	-8.73467926742396	7.64954693342314	-20.7748244863871	-4.32473683101201	0.0852056053999455	4.4951480418119	48	3	19	-8.95148017972255	7.38507111047717	8	3	3	6.25	6.25	6.25	33.3333333333333	4.5	0
BRK	-8.21059368320935	9.53691644108686	-19.183162182387	-3.8376897152672	0.535214252674953	4.90811822061711	10	0	1	2.21588668890976	9.53691644108686				0.0	0.0	0.0	10.0	4.91	0
BR_Z1	-8.01250055827126	7.29381949496974	-23.1229740631694	-3.68041470918233	0.651671139906595	4.98375698899552	17	0	8	-3.38626717261007	7.242482421537				0.0	0.0	0.0	47.0588235294118	4.98	0
BR_Z2	-6.82544546586855	6.53439985671519	-21.2438827921465	-2.775778900029	1.27388766581054	5.32355423165009	21	0	16	-1.93768128536074	5.94928073167526				0.0	0.0	0.0	76.1904761904762	5.32	0
BR_Z3	-7.44393067166563	7.25140691786865	-20.9234783350897	-3.40880762520174	0.626315421262154	4.66143846772605	16	0	7	-2.30529499778484	6.46729164595627				0.0	0.0	0.0	43.75	4.66	0
BR_Z4	-5.96497780730547	5.59595632840281	-13.1833474640173	-2.73115449889424	0.502668809516989	3.73649211792822	8	0	1	1.66778536231991	5.59595632840281				0.0	0.0	0.0	12.5	3.74	0
BYN	-7.0853802581369	8.30305207095462	-18.4206807439524	-3.27443910158059	0.536502054975731	4.34744321153205	9	0	1	2.37288301280803	8.30305207095462				0.0	0.0	0.0	11.1111111111111	4.35	0
CAD	-6.9349951359224	8.18167675690398	-22.2527894052262	-2.89325525446583	1.14848462699073	5.1902245084473	13	0	9	-2.16190621521188	8.06542549395721				0.0	0.0	0.0	69.2307692307692	5.19	0
DEAF1	-5.84414556603468	6.41028435149532	-12.313951802654	-2.40225717654947	1.03963121293575	4.48151960242096	10	0	2	-1.86098495827117	6.41028435149532				0.0	0.0	0.0	20.0	4.48	0
DFD	-8.65953617868629	7.15657848023325	-20.3219694209311	-4.480133398375	-0.300730618063721	3.87867216224756	16	1	9	-5.43864267898692	7.14099519831185	8	1	1	6.25	6.25	6.25	50.0	3.88	0
DL	-10.4468442650887	9.68711354208567	-26.8623230679127	-5.34993866029861	-0.253033055508478	4.84387254928165	38	0	13	-3.19934501850227	9.68711354208567				0.0	0.0	0.0	34.2105263157895	4.84	0
DREF	-10.3825146931969	11.38809916614	-26.1322945546174	-5.82708745846269	-1.27166022372848	3.28376701100573	9	1	4	-9.11126614717162	11.3730347570955	12	1	1	11.1111111111111	11.1111111111111	11.1111111111111	33.3333333333333	3.28	0
EIP74EF	-7.94789686714669	9.89095291541084	-20.2300173560022	-3.91961769294414	0.1086614812584	4.13694065546094	8	0	3	-1.86867115775044	9.03396746846475				0.0	0.0	0.0	37.5	4.14	0
EN	-6.98768730128967	6.5276512617084	-21.1468328932776	-2.90774450648165	1.17219828832637	5.25214108313439	56	5	41	-7.40567439424238	6.5276512617084	8	5	2	8.92857142857143	8.92857142857143	3.57142857142857	64.2857142857143	5.25	0
EVE	-9.34557411935585	8.90586349647535	-32.5994800012684	-4.4926099660447	0.360354187266456	5.21331834057761	20	1	10	-12.7441823526452	8.22226549527708	12	1	0	5.0	5.0	0.0	45.0	5.21	0
FTZ	-7.44594412889956	6.87028785177844	-21.9939920084318	-3.24589141304391	0.95416130281173	5.15421401866738	66	5	45	-5.73836419464994	6.87028785177844	8	5	3	7.57575757575758	7.57575757575758	4.54545454545455	60.6060606060606	5.15	0
GRH	-7.18691440655397	9.20014918776103	-21.2836225125805	-3.06064707513573	1.06562025628252	5.19188758770076	9	1	4	-7.06068097118724	8.55687885868089	10	1	0	11.1111111111111	11.1111111111111	0.0	33.3333333333333	5.19	0
GT	-9.59150763592574	10.588959462472	-26.3666949280346	-5.07147095950115	-0.551434283076556	3.96860239334804	8	0	4	-0.435966387216144	8.03078568537904				0.0	0.0	0.0	50.0	3.97	0
HB	-11.4413843110369	7.52725888635938	-25.4008523339836	-6.58277579520649	-1.72416727937612	3.13444123645426	103	0	10	-0.101369599535883	7.52725888635938				0.0	0.0	0.0	9.70873786407767	3.13	0
