factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
KNI	-7.31968724634717	8.52742797476638	-24.534556780647	-2.9659596949365	1.38776785647417	5.74149540788484	33	10	26	-8.27020672499099	8.43286711718543	10	9	5	30.3030303030303	27.2727272727273	15.1515151515152	48.4848484848485	5.74	0
KR	-7.86447738359324	9.72643674547045	-24.247867056023	-3.56413933534421	0.73619871290482	5.03653676115385	45	5	30	-11.5230110028701	9.72643674547045	10	4	2	11.1111111111111	8.88888888888889	4.44444444444444	55.5555555555556	5.04	0
MAD	-7.87380681221238	10.8227693286765	-21.314303383334	-3.47791789867332	0.917971014865743	5.3138599284048	19	0	6	-3.45108110942632	10.3681583428775				0.0	0.0	0.0	31.5789473684211	5.31	0
OVO	-8.46488179054516	8.37111841358239	-18.7773664423323	-4.37550186133401	-0.28612193212286	3.80325799708829	12	0	0	3.94203592283947	8.0033370612808				0.0	0.0	0.0	0.0	3.8	0
PAN	-7.13599023962503	7.35208459505808	-19.5206826571702	-3.12687931666846	0.882231606288118	4.89134252924469	25	0	15	-0.2074158060881	6.7812223463123				0.0	0.0	0.0	60.0	4.89	0
PRD	-6.8260871885242	7.61242703879236	-18.137024780944	-2.99706781467415	0.831951559175905	4.66097093302596	11	0	5	0.265361004881923	6.75544159184627				0.0	0.0	0.0	45.4545454545455	4.66	0
SD	-9.14129944928059	9.68376905958577	-34.4500607213367	-4.15213954386965	0.837020361541292	5.82618026695223	19	4	18	-9.8044553329602	6.38282938154381	12	4	3	21.0526315789474	21.0526315789474	15.7894736842105	73.6842105263158	5.83	0
SLBO	-6.9166365452682	7.6244911882875	-19.0208682983811	-2.95645081447481	1.00373491631859	4.96392064711198	12	1	4	-5.73003586459103	7.15951797883887	8	1	0	8.33333333333333	8.33333333333333	0.0	25.0	4.96	0
SNA	-8.03435702204789	9.88403802559376	-23.3503399365688	-3.74479662035419	0.544763781339499	4.83432418303319	11	3	5	-10.0920133528113	8.02767988176873	10	3	3	27.2727272727273	27.2727272727273	27.2727272727273	18.1818181818182	4.83	0
TIN	-10.7431544568649	12.296161159142	-26.2467334020086	-5.99722813697517	-1.25130181708541	3.49462450280435	11	1	1	-10.9681049498138	11.8121285438937	12	1	1	9.09090909090909	9.09090909090909	9.09090909090909	0.0	3.49	0
TLL	-6.26008334459395	7.01151527227458	-16.8809576852726	-2.58166921827664	1.09674490804067	4.77515903435798	37	1	23	-3.47754942804776	7.01151527227458	7	1	1	2.7027027027027	2.7027027027027	2.7027027027027	59.4594594594595	4.78	0
TRL	-8.13053705519227	9.18168144120508	-25.1347907750494	-3.53258205281188	1.06537294956851	5.66332795194891	77	6	45	-9.89339876063863	9.18168144120508	10	6	5	7.79220779220779	7.79220779220779	6.49350649350649	50.6493506493506	5.66	0
TTK	-8.04436709227825	12.0401463111465	-23.3692418054123	-3.79622108321415	0.451924925849953	4.70007093491405	8	2	5	-6.3036502906902	10.6803958814003	12	2	1	25.0	25.0	12.5	37.5	4.7	0
TWI	-8.92397407805692	10.5797668961885	-25.7774318603216	-4.4245486477486	0.0748767825597252	4.57430221286805	15	5	8	-12.9735897599842	9.652207257242	12	5	5	33.3333333333333	33.3333333333333	33.3333333333333	20.0	4.57	0
UBX	-6.99893034623289	5.33087753543413	-16.9653696257923	-3.22100612369327	0.55691809884635	4.33484232138597	60	4	25	-11.168571599153	5.33087753543413	6	3	2	6.66666666666667	5.0	3.33333333333333	35.0	4.33	0
VVL	-6.48103857473626	5.8485920660759	-13.4107133374168	-2.94040364165898	0.600231291418304	4.14086622449559	11	0	5	0.726932424624496	5.8485920660759				0.0	0.0	0.0	45.4545454545455	4.14	0
Z	-9.51157911191378	8.94696924579169	-24.343878752967	-4.75995201835983	-0.00832492480589053	4.74330216874805	41	16	27	-18.8601179674994	8.94696924579169	10	16	16	39.0243902439024	39.0243902439024	39.0243902439024	26.8292682926829	4.74	0
ZEN	-10.4908546092305	9.37851533614025	-25.6494935746154	-5.93232509891174	-1.37379558859299	3.18473392172576	12	0	1	-3.16732236369157	8.45392891367731				0.0	0.0	0.0	8.33333333333333	3.18	0
