factor id	best motif	total points in [10%, 90%]	Bigfoot_ctrl score	Bigfoot_ctrl length	Pollard score	Pollard length	SeSiMCMC_ctrl score	SeSiMCMC_ctrl length
ABD_A	Bigfoot_ctrl	32	24	8	7	8	1	8
ANTP	Pollard	9	2	6	4	6	3	6
AP	SeSiMCMC_ctrl	11	4	6	1	6	6	6
BCD	Bigfoot_ctrl	39	21	8	11	8	10	8
BRK	Bigfoot_ctrl	9	6	8	4	8	6	8
BR_Z1	Bigfoot_ctrl	14	9	8	0	8	5	8
BR_Z2	Bigfoot_ctrl	16	10	8	1	8	5	8
BR_Z3	Pollard	13	4	8	6	8	3	8
BR_Z4	Bigfoot_ctrl	7	5	6	3	6	2	6
BYN	Bigfoot_ctrl	8	5	8	4	8	5	8
CAD	Bigfoot_ctrl	10	5	9	4	9	1	9
DEAF1	Bigfoot_ctrl	9	6	6	6	6	5	6
DFD	Bigfoot_ctrl	13	7	8	7	8	6	8
DL	Bigfoot_ctrl	31	16	10	9	10	6	10
DREF	Bigfoot_ctrl	8	6	12	2	12	6	12
EIP74EF	Bigfoot_ctrl	7	4	10	4	10	3	10
EN	Bigfoot_ctrl	45	27	8	8	8	12	8
EVE	Bigfoot_ctrl	17	11	12	3	12	3	12
FTZ	Bigfoot_ctrl	53	39	8	2	8	12	8
GRH	Bigfoot_ctrl	8	7	10	1	10	7	10
GT	Bigfoot_ctrl	7	5	12	0	12	2	12
HB	SeSiMCMC_ctrl	82	27	8	27	8	51	8
KNI	Bigfoot_ctrl	26	17	10	1	10	8	10
KR	Bigfoot_ctrl	36	22	10	4	10	10	10
MAD	SeSiMCMC_ctrl	16	5	10	2	10	9	10
MED	Bigfoot_ctrl	7	7	12	0	12		
OVO	Pollard	9	3	8	6	8	3	8
PAN	SeSiMCMC_ctrl	20	8	8	2	8	10	8
PRD	Bigfoot_ctrl	8	6	8	0	8	2	8
SD	Bigfoot_ctrl	16	12	12	4	12	12	12
SLBO	Bigfoot_ctrl	9	4	8	4	8	1	8
SNA	Bigfoot_ctrl	8	5	10	3	10	5	10
TIN	Bigfoot_ctrl	8	8	12	8	12	8	12
TLL	Bigfoot_ctrl	30	25	7	9	7	5	7
TRL	Pollard	62	23	10	25	10	14	10
TTK	Pollard	7	2	12	4	12	1	12
TWI	Bigfoot_ctrl	12	7	12	4	12	1	12
UBX	Bigfoot_ctrl	49	35	6	29	6	3	6
VVL	Pollard	8	3	6	4	6	2	6
Z	Bigfoot_ctrl	32	20	10	3	10	9	10
ZEN	Bigfoot_ctrl	9	3	10	3	10	3	10
