factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
ABD_A	-9.09100187341086	6.69279316939162	-21.6965244515575	-4.60499381984607	-0.118985766281291	4.36702228728349	41	4	20	-9.77051754922848	6.69279316939162	8	4	2	9.75609756097561	9.75609756097561	4.8780487804878	39.0243902439024	4.37	0
ANTP	-7.61846266399225	6.09863075348906	-15.3896961447692	-3.7816016135068	0.0552594369786537	3.8921204874641	12	0	1	3.41339097136857	6.09863075348906				0.0	0.0	0.0	8.33333333333333	3.89	0
AP	-5.49328174859327	5.07007318428385	-12.1487411660981	-2.37691853502921	0.739444678534854	3.85580789209892	14	0	5	1.30896640376035	5.07007318428385				0.0	0.0	0.0	35.7142857142857	3.86	0
BCD	-7.86327309376317	7.61116355662936	-20.1922382238241	-3.69724534385174	0.468782406059685	4.63481015597111	48	2	19	-8.95295644802511	7.31147252856697	8	2	2	4.16666666666667	4.16666666666667	4.16666666666667	35.4166666666667	4.63	0
BRK	-7.94677388333687	9.34820876512058	-19.183162182387	-3.70704071764957	0.532692448037722	4.77242561372502	10	0	0	5.73310720106329	9.25144816556092				0.0	0.0	0.0	0.0	4.77	0
BR_Z1	-6.80944817287669	7.14721617225859	-20.125520940547	-2.86150103931224	1.08644609425221	5.03439322781666	17	0	12	-0.362440149607065	5.82880301193101				0.0	0.0	0.0	70.5882352941177	5.03	0
BR_Z2	-6.82525150163081	6.59986461013319	-17.4282345406503	-3.11180995424786	0.601631593135092	4.31507314051804	21	0	12	1.55585714470962	6.59986461013319				0.0	0.0	0.0	57.1428571428571	4.32	0
BR_Z3	-7.2717826875189	6.91558064433688	-20.2296440623483	-3.11731937196923	1.03714394358044	5.19160725913012	16	0	7	1.00790638012153	6.76798773517691				0.0	0.0	0.0	43.75	5.19	0
BR_Z4	-6.03742278419918	6.11406157396916	-13.1833474640173	-2.7055405463775	0.626341691444176	3.95822392926585	8	0	0	4.3807237106024	6.11406157396916				0.0	0.0	0.0	0.0	3.96	0
BYN	-6.99728097213321	8.17308130072595	-18.4206807439524	-3.15936119000846	0.67855859211629	4.51647837424104	9	0	1	3.2394088120273	8.17308130072595				0.0	0.0	0.0	11.1111111111111	4.52	0
CAD	-6.51943757419694	7.04286303421574	-20.5105609878662	-2.63120238752427	1.2570327991484	5.14526798582108	13	0	8	-2.06996730660735	7.04286303421574				0.0	0.0	0.0	61.5384615384615	5.15	0
DEAF1	-6.22219748894526	6.35653904767221	-12.8886450754791	-2.62321483843109	0.975767812083075	4.57475046259724	10	0	0	4.86755469302508	6.35653904767221				0.0	0.0	0.0	0.0	4.57	0
DFD	-8.44079554996022	7.38657504066768	-21.1669801911386	-4.26621308365959	-0.0916306173589518	4.08295184894168	16	0	1	-4.04116027915286	7.38657504066768				0.0	0.0	0.0	6.25	4.08	0
DL	-8.45120423862885	10.354164855749	-25.7011852899735	-4.01933929321927	0.41252565219032	4.8443905975999	38	0	12	0.973986263718437	10.354164855749				0.0	0.0	0.0	31.5789473684211	4.84	0
DREF	-9.933933911732	10.396588826857	-22.7945485325872	-5.58240599722068	-1.23087808270937	3.12064983180195	9	2	2	-9.7011803067516	10.3815244178125	12	2	2	22.2222222222222	22.2222222222222	22.2222222222222	0.0	3.12	0
EIP74EF	-8.2166929698827	9.98330364900049	-21.9722457733622	-4.07113480848061	0.0744233529214764	4.21998151432356	8	0	0	6.37796784038165	9.24256946500116				0.0	0.0	0.0	0.0	4.22	0
EN	-8.86875711556615	6.56491289465619	-26.2839230242606	-3.96891507961954	0.930926956327069	5.83076899227368	56	4	46	-13.2166306187813	6.56491289465619	8	4	2	7.14285714285714	7.14285714285714	3.57142857142857	75.0	5.83	0
EVE	-9.89011461470248	9.17524345904064	-31.4393047584102	-4.93587884798826	0.0183569187259547	4.97259268544017	20	1	6	-9.35172573942079	8.39982723360085	12	0	0	5.0	0.0	0.0	25.0	4.97	0
FTZ	-6.75297000622173	7.10626814418974	-18.4520618695922	-2.67153657566761	1.40989685488652	5.49133028544064	66	1	49	-8.56787337772954	7.10626814418974	8	1	1	1.51515151515152	1.51515151515152	1.51515151515152	72.7272727272727	5.49	0
GRH	-6.8682947252855	8.83292561583638	-20.2300173560022	-2.9767511415422	0.914792442201104	4.8063360259444	9	1	2	-3.93658927865445	8.8178612067919	10	1	0	11.1111111111111	11.1111111111111	0.0	11.1111111111111	4.81	0
GT	-9.1963788701358	10.1672017078363	-26.3666949280346	-4.67703980214442	-0.157700734153046	4.36163833383833	8	0	2	-2.59593206003061	8.80360191833835				0.0	0.0	0.0	25.0	4.36	0
HB	-12.8967580844368	8.07365365557027	-24.5664547704703	-7.696177771198	-2.49559745795914	2.70498285527971	103	0	6	-0.122862292471756	8.07365365557027				0.0	0.0	0.0	5.8252427184466	2.7	0
KNI	-5.90685437213727	8.01955827419322	-18.2241170614599	-2.26098523233221	1.38488390747285	5.0307530472779	33	10	22	-12.1130591349644	7.16059420547902	10	8	5	30.3030303030303	24.2424242424242	15.1515151515152	36.3636363636364	5.03	0
KR	-6.95483296170589	9.37643435659984	-21.28212286804	-3.01010054714464	0.934631867416599	4.87936428197784	45	3	15	-5.21104363992606	9.37643435659984	10	1	1	6.66666666666667	2.22222222222222	2.22222222222222	26.6666666666667	4.88	0
MAD	-7.65275953054664	10.2063193562618	-23.6053073617821	-3.19896839851943	1.25482273350778	5.70861386553499	19	0	6	1.75907723237492	9.91289494590997				0.0	0.0	0.0	31.5789473684211	5.71	0
MED	-6.66971006107422	10.5169335196371	-21.6270133880523	-2.67066912687819	1.32837180731785	5.32741274151389	8	0	2	-1.39295429990888	8.93562380640721				0.0	0.0	0.0	25.0	5.33	0
OVO	-8.39170181712831	8.49133049345343	-18.7773664423323	-4.28388766048481	-0.176073503841309	3.93174065280219	12	0	0	4.54437741584352	8.49133049345343				0.0	0.0	0.0	0.0	3.93	0
PAN	-7.1964955038392	7.52257683940406	-20.6615207958281	-3.07555287549696	1.04538975284528	5.16633238118752	25	0	16	-0.188616299674239	7.00993262351895				0.0	0.0	0.0	64.0	5.17	0
PRD	-6.18298491460846	7.47036604442235	-18.3805266369928	-2.46651759096691	1.24994973267464	4.96641705631618	11	0	6	0.050013212982457	6.55607496260029				0.0	0.0	0.0	54.5454545454545	4.97	0
SD	-6.64588413928292	9.38884534980147	-21.1425670756813	-2.76809409320768	1.10969595286756	4.9874859989428	19	3	13	-5.13713001142541	8.24527050328369	12	3	1	15.7894736842105	15.7894736842105	5.26315789473684	52.6315789473684	4.99	0
SLBO	-6.22701048495087	7.60029123232335	-17.52214173707	-2.48551252327333	1.25598543840421	4.99748340008175	12	1	4	-3.81523638719228	7.48403996937658	8	0	0	8.33333333333333	0.0	0.0	25.0	5.0	0
SNA	-7.43499674432965	9.39585808237866	-21.0066026050502	-3.34742823398862	0.740140276352422	4.82770878669346	11	0	2	0.921013355482103	8.22215441777192				0.0	0.0	0.0	18.1818181818182	4.83	0
TIN	-10.7379013165987	12.296161159142	-26.2467334020086	-5.99723212623427	-1.25656293586983	3.48410625449462	11	1	1	-10.9681049498138	11.8121285438937	12	1	1	9.09090909090909	9.09090909090909	9.09090909090909	0.0	3.48	0
TLL	-6.53892722845876	6.91540628801176	-18.6231861026326	-2.62565184058179	1.28762354729517	5.20089893517214	37	2	24	-3.13928260609793	6.91540628801176	7	2	2	5.40540540540541	5.40540540540541	5.40540540540541	59.4594594594595	5.2	0
TRL	-8.16473654919508	9.28982417240946	-23.9864401941309	-3.59592736034164	0.972881828511806	5.54169101736525	77	3	40	-12.1336842491726	9.28454477800248	10	3	1	3.8961038961039	3.8961038961039	1.2987012987013	48.0519480519481	5.54	0
TTK	-8.70201096072301	11.9104210638652	-24.9532985001581	-4.26467072656446	0.172669507594087	4.61000974175264	8	0	1	-3.46723513335183	11.9104210638652				0.0	0.0	0.0	12.5	4.61	0
TWI	-7.83330827562348	11.0537760958716	-22.8858168973114	-3.64628224729429	0.540743781034907	4.7277698093641	15	0	4	3.14363635427339	11.0537760958716				0.0	0.0	0.0	26.6666666666667	4.73	0
UBX	-9.55546691714346	6.09013416199817	-21.0575848285426	-4.87596720365706	-0.196467490170651	4.48303222331575	60	3	25	-11.9550893959243	6.09013416199817	6	2	0	5.0	3.33333333333333	0.0	36.6666666666667	4.48	0
VVL	-6.61304090897944	6.1679396879542	-14.909439898728	-2.90708603803025	0.798868832918939	4.50482370386813	11	0	5	1.00912768220427	6.1679396879542				0.0	0.0	0.0	45.4545454545455	4.5	0
Z	-9.22406616888578	8.81171051223284	-22.6321403291494	-4.70526788514419	-0.186469601402607	4.33232868233898	41	14	24	-17.9686786562355	8.81171051223284	10	14	14	34.1463414634146	34.1463414634146	34.1463414634146	24.390243902439	4.33	0
ZEN	-9.42103347321004	9.12333464227649	-23.5760737404792	-5.07115822266295	-0.721282972115867	3.62859227843122	12	0	1	2.62234821391322	9.12333464227649				0.0	0.0	0.0	8.33333333333333	3.63	0
