factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
ABD_A	-8.07987402613241	7.15452526142476	-26.4169001115469	-3.57593633571219	0.928001354708027	5.43193904512824	41	3	31	-9.92640530233501	7.15452526142476	8	2	1	7.31707317073171	4.8780487804878	2.4390243902439	68.2926829268293	5.43	27
ANTP	-7.61193061018598	6.00745089643155	-15.3896961447692	-3.85279945648825	-0.0936683027905243	3.6654628509072	12	0	1	-1.41661559455535	6.00745089643155				0.0	0.0	0.0	8.33333333333333	3.67	0
AP	-6.03324086695415	5.49780312866138	-12.7638443718932	-2.77586617077917	0.481508525395819	3.7388832215708	14	0	7	0.0192124382824495	5.49780312866138				0.0	0.0	0.0	50.0	3.74	4
BCD	-8.99575995612598	7.75612281568865	-22.063917616833	-4.43426414755525	0.127231661015488	4.68872746958622	48	2	19	-10.6953481444716	7.35646958478743	8	2	2	4.16666666666667	4.16666666666667	4.16666666666667	35.4166666666667	4.69	16
BRK	-8.21059368320935	9.53691644108686	-19.183162182387	-3.8376897152672	0.535214252674953	4.90811822061711	10	0	1	2.21588668890976	9.53691644108686				0.0	0.0	0.0	10.0	4.91	0
BR_Z1	-8.01250055827122	7.29381949496974	-23.1229740631694	-3.68041470918228	0.651671139906663	4.98375698899561	17	0	8	-3.38626717261007	7.242482421537				0.0	0.0	0.0	47.0588235294118	4.98	5
BR_Z2	-8.20640948807037	6.36425526942821	-22.0267138726947	-3.73842063849348	0.729568211083398	5.19755706066028	21	0	16	0.98930296191198	5.8774714720415				0.0	0.0	0.0	76.1904761904762	5.2	15
BR_Z3	-7.18990277742703	7.47322365258281	-19.1812499177297	-3.30973143014655	0.570439917133942	4.45061126441443	16	0	6	-0.928475738713462	6.38379750765449				0.0	0.0	0.0	37.5	4.45	5
BR_Z4	-6.03742278419915	6.11406157396916	-13.1833474640173	-2.7055405463775	0.62634169144415	3.9582239292658	8	0	0	4.3807237106024	6.11406157396916				0.0	0.0	0.0	0.0	3.96	0
BYN	-7.08538025813622	8.30305207095462	-18.4206807439524	-3.27443910157961	0.536502054977012	4.34744321153363	9	0	1	2.37288301280803	8.30305207095462				0.0	0.0	0.0	11.1111111111111	4.35	0
CAD	-7.23767907686082	7.34860558087257	-20.5105609878662	-3.16893885907233	0.89980135871615	4.96854157650464	13	2	8	-5.92816819853581	7.34860558087257	9	2	2	15.3846153846154	15.3846153846154	15.3846153846154	46.1538461538462	4.97	6
DEAF1	-6.22219748894526	6.35653904767221	-12.8886450754791	-2.62321483843112	0.975767812083028	4.57475046259717	10	0	0	4.86755469302508	6.35653904767221				0.0	0.0	0.0	0.0	4.57	0
DFD	-8.44079554996022	7.38657504066768	-21.1669801911386	-4.26621308365959	-0.0916306173589518	4.08295184894168	16	0	1	-4.04116027915286	7.38657504066768				0.0	0.0	0.0	6.25	4.08	0
DL	-10.4943302408152	9.62984959123585	-28.6045514852727	-5.27689835212339	-0.0594664634315603	5.15796542526027	38	0	14	-3.14939546088936	9.62984959123585				0.0	0.0	0.0	36.8421052631579	5.16	9
DREF	-10.3762582319461	11.38809916614	-26.1322945546174	-5.81656802996509	-1.2568778279841	3.30281237399688	9	1	4	-9.11126614717162	11.3730347570955	12	1	1	11.1111111111111	11.1111111111111	11.1111111111111	33.3333333333333	3.3	0
EIP74EF	-8.2166929698827	9.98330364900049	-21.9722457733622	-4.07113480848061	0.0744233529214764	4.21998151432356	8	0	0	6.37796784038165	9.24256946500116				0.0	0.0	0.0	0.0	4.22	0
EN	-7.69696482686656	7.06606432068572	-22.7166296982413	-3.44421401494465	0.80853679697726	5.06128760889917	56	6	37	-6.53802885721299	7.06606432068572	8	6	4	10.7142857142857	10.7142857142857	7.14285714285714	55.3571428571429	5.06	39
EVE	-9.45030319041513	9.52963498726936	-33.8326434985092	-4.48704884698602	0.476205496443088	5.4394598398722	20	2	13	-15.5172721957878	8.181816521469	12	2	0	10.0	10.0	0.0	55.0	5.44	7
FTZ	-7.71369494063514	6.92355516853054	-21.6166039357572	-3.53912729148743	0.635440357660269	4.81000800680797	66	4	39	-5.45015013720507	6.92355516853054	8	4	3	6.06060606060606	6.06060606060606	4.54545454545455	53.030303030303	4.81	36
GRH	-7.18691440655397	9.20014918776103	-21.2836225125805	-3.06064707513573	1.06562025628252	5.19188758770076	9	1	4	-7.06068097118724	8.55687885868089	10	1	0	11.1111111111111	11.1111111111111	0.0	33.3333333333333	5.19	2
GT	-9.98221277207433	10.5506073014292	-26.3666949280346	-5.4085403697813	-0.834867967488261	3.73880443480478	8	2	6	-5.4637934896444	9.06949762144812	12	2	1	25.0	25.0	12.5	50.0	3.74	0
HB	-13.6361744577016	7.9842296431645	-25.6133340708422	-8.26233325423345	-2.88849205076528	2.4853491527029	103	0	10	-1.08679328452272	7.9842296431645				0.0	0.0	0.0	9.70873786407767	2.49	2
KNI	-7.37982303990399	8.38894710889805	-22.8392282745449	-3.15870406909021	1.06241490172356	5.28353387253734	33	7	26	-9.86508527990767	8.38894710889805	10	7	3	21.2121212121212	21.2121212121212	9.09090909090909	57.5757575757576	5.28	18
KR	-7.35965441553332	9.9055768673247	-21.4940525370627	-3.36172451975512	0.636205376023092	4.6341352718013	45	6	27	-8.13383674774884	9.9055768673247	10	6	4	13.3333333333333	13.3333333333333	8.88888888888889	46.6666666666667	4.63	13
MAD	-8.30002703178655	10.3682603697496	-24.8864497787814	-3.67082412889192	0.958378774002707	5.58758167689733	19	1	9	-7.35421729944593	10.3682603697496	10	1	1	5.26315789473684	5.26315789473684	5.26315789473684	42.1052631578947	5.59	7
MED	-8.11102669480676	11.257367435819	-24.8679683667235	-3.49487934209541	1.12126801061595	5.73741536332731	8	2	5	-6.43081128951159	10.2248723728518	12	2	2	25.0	25.0	25.0	37.5	5.74	0
OVO	-8.46488179054516	8.37111841358239	-18.7773664423323	-4.37550186133401	-0.28612193212286	3.80325799708829	12	0	0	3.94203592283947	8.0033370612808				0.0	0.0	0.0	0.0	3.8	0
PAN	-6.6570028964807	7.31825266146868	-20.1071271622843	-2.9072083640538	0.842586168373104	4.59238070080001	25	1	14	-4.9496732656864	7.31825266146868	8	1	1	4.0	4.0	4.0	52.0	4.59	13
PRD	-6.82608718852415	7.61242703879236	-18.137024780944	-2.99706781467411	0.831951559175936	4.66097093302598	11	0	5	0.265361004881923	6.75544159184627				0.0	0.0	0.0	45.4545454545455	4.66	2
SD	-9.13750460754596	9.68376905958577	-34.4500607213367	-4.14926015223934	0.838984303067269	5.82722875837388	19	4	18	-9.8044553329602	6.38282938154381	12	4	3	21.0526315789474	21.0526315789474	15.7894736842105	73.6842105263158	5.83	7
SLBO	-7.10630562095253	7.42650080138917	-19.0208682983811	-3.10623443791185	0.893836745128837	4.89390792816952	12	1	3	-5.94869800414688	7.31024953844239	8	1	0	8.33333333333333	8.33333333333333	0.0	16.6666666666667	4.89	3
SNA	-8.03435702204709	9.88403802559375	-23.3503399365688	-3.74479662035336	0.544763781340382	4.83432418303412	11	3	5	-10.0920133528113	8.02767988176873	10	3	3	27.2727272727273	27.2727272727273	27.2727272727273	18.1818181818182	4.83	1
TIN	-10.7378350901323	12.296161159142	-26.2467334020086	-5.98808847297363	-1.23834185581495	3.51140476134373	11	1	1	-10.9681049498138	11.8121285438937	12	1	1	9.09090909090909	9.09090909090909	9.09090909090909	0.0	3.51	0
TLL	-6.60239381722136	7.03171713135706	-18.3796842465837	-2.68312460986384	1.23614459749368	5.15541380485121	37	1	25	-3.4327665748686	7.03171713135706	7	0	0	2.7027027027027	0.0	0.0	64.8648648648649	5.16	24
TRL	-9.24565894739032	9.61922520569556	-25.6653977993662	-4.26268093532511	0.72029707674011	5.70327508880533	77	6	47	-10.7297974213731	9.49325452957292	10	5	2	7.79220779220779	6.49350649350649	2.5974025974026	53.2467532467532	5.7	34
TTK	-8.77083388232632	11.7410591966019	-23.3692418054123	-4.37340282035417	0.0240282416179802	4.42145930359013	8	2	4	-6.5029322034092	11.6487338380191	12	2	1	25.0	25.0	12.5	25.0	4.42	0
TWI	-9.15441847483486	11.7764276333357	-27.8375488541536	-4.49861547533899	0.157187524156891	4.81299052365277	15	5	11	-10.6770388884781	10.4549382709423	12	5	0	33.3333333333333	33.3333333333333	0.0	40.0	4.81	1
UBX	-8.1331923790655	6.18992465157735	-19.2318628586071	-3.86210637339199	0.408979632281527	4.68006563795504	60	1	33	-6.46295452315207	6.18992465157735	6	1	0	1.66666666666667	1.66666666666667	0.0	53.3333333333333	4.68	38
VVL	-6.48103857473626	5.8485920660759	-13.4107133374168	-2.94040364165898	0.600231291418301	4.14086622449558	11	0	5	0.726932424624496	5.8485920660759				0.0	0.0	0.0	45.4545454545455	4.14	3
Z	-9.6635497869821	8.81635528250278	-22.4566307131284	-5.07879456632901	-0.494039345675915	4.09071587497718	41	13	23	-17.6701629804569	8.81635528250278	10	13	13	31.7073170731707	31.7073170731707	31.7073170731707	24.390243902439	4.09	5
