factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
ABD_A	-7.93322678012075	5.96750686388346	-18.6885524007814	-3.88615106477355	0.160924650573648	4.20800036592084	41	2	21	-11.9286822887923	5.96750686388346	6	0	0	4.8780487804878	0.0	0.0	46.3414634146341	4.21	0
ANTP	-9.44861484967291	10.8638627325147	-23.9442804004562	-5.39013213134615	-1.3316494130194	2.72683330530735	12	0	4	0.279714100125689	10.5536520208799				0.0	0.0	0.0	33.3333333333333	2.73	0
AP	-6.80735321491836	6.43616706985998	-16.1868037528593	-3.28355741474859	0.240238385421175	3.76403418559094	14	2	9	-8.48407346694798	6.28307239196212	7	2	2	14.2857142857143	14.2857142857143	14.2857142857143	50.0	3.76	0
BCD	-8.823159593651	7.12616159212648	-20.3580707555636	-4.38430924327173	0.0545411071075446	4.49339145748682	48	1	16	-5.34318308745383	7.12616159212648	7	1	0	2.08333333333333	2.08333333333333	0.0	31.25	4.49	0
BRK	-5.62574585347894	8.88936061271326	-15.839666179656	-2.1094301163363	1.40688562080634	4.92320135794899	10	0	0	4.98528351349372	8.85584035280259				0.0	0.0	0.0	0.0	4.92	0
BR_Z1	-7.5388556524183	7.04025104548686	-18.7880805310373	-3.70827512531116	0.122305401795972	3.95288592890311	17	0	9	-1.83534081908783	6.64249659973036				0.0	0.0	0.0	52.9411764705882	3.95	0
BR_Z2	-6.68066761345736	6.03037760038516	-16.5137202239706	-3.10142028718457	0.477827039088215	4.057074365361	21	0	12	-1.47407707891562	6.03037760038516				0.0	0.0	0.0	57.1428571428571	4.06	0
BR_Z3	-7.39371800854958	8.16024422507337	-20.9593548080576	-3.6288090624036	0.136099883742373	3.90100882988835	16	0	7	-2.14480737514231	8.16024422507337				0.0	0.0	0.0	43.75	3.9	0
CAD	-7.68463365258864	8.04433118750571	-18.5235706553734	-3.92329919961782	-0.161964746646993	3.59936970632383	13	4	12	-9.6321314136979	7.34974646414914	8	2	0	30.7692307692308	15.3846153846154	0.0	61.5384615384615	3.6	0
DEAF1	-6.61505684817089	12.0832736610371	-21.2886181640437	-2.79703338840122	1.02099007136845	4.83901353113811	10	1	7	-9.53554607658828	8.70489382533532	12	1	0	10.0	10.0	0.0	60.0	4.84	0
