	ABD_A	ANTP	AP	BCD	BRK	BR_Z1	BR_Z2	BR_Z3	BR_Z4	BYN	CAD	DEAF1	DFD	DL	DREF	EIP74EF	EN	EVE	FTZ	GRH	GT	HB	KNI	KR	MAD	MED	OVO	PAN	PRD	SD	SLBO	SNA	TIN	TLL	TRL	TTK	TWI	UBX	VVL	Z	ZEN
CAD	0.0723454534935958	0.103659815146331	0.0608968151286707	0.0271804631407941	0.00691017406912948	0.0913047387163877	0.0472762718986359	0.0488260945860407	0.0531195432435385	0.0384083691658299	1.0	0.0167838162381337	0.0460537498967335	0.0361274118775953	0.066875285283362	0.0224534957738014	0.0500315194905005	0.0467566190227858	0.064559456965518	0.0254975730929629	0.143611309892589	0.203758828817627	0.0297094056366277	0.0214588996333624	0.00471808567437084	0.01071741908637	0.0172882388597156	0.0485252103574045	0.0594808897142454	0.01513629348135	0.0502953445757753	0.00701195191367306	0.0259929525158111	0.0287442418591917	0.0109624794422239	0.00468482124878242	0.0139062276136224	0.0565791975487737	0.0349187822293554	0.020290085551216	0.0840296358718437
DEAF1	0.000142663882404255	0.000769074058086053	0.00811541462140331	0.0144269086181984	0.0416803624637374	0.00405020802864595	0.00918745157981499	0.00261877984949466	0.00526764326024813	0.023722386501684	0.0167838162381337	1.0	0.00244313550686112	0.0138083806289733	0.0122506297717481	0.014738422400601	0.00161284527486317	0.00568130095884703	0.00216051094411279	0.00546372616688991	0.00262925600494524	0.013040067142005	0.010629466329528	0.0187859780469641	0.0644902346114063	0.037278190728243	0.00707251202481107	0.00300057782969509	0.0090912173519193	0.011068322983613	0.0114089959340888	0.0104217343555539	0.0135349773303135	0.00430525704114455	0.00714032390725053	0.0186517521241791	0.00904497054755045	0.000989547275803181	0.00283511405014682	0.0227617344267273	0.000612680137667446
DFD	0.285850028802418	0.170553938755777	0.3083218182756	0.0204516659036597	0.00853080664000067	0.0451739561728661	0.115727351632907	0.0901471087266034	0.203351466472742	0.0169406226376544	0.0460537498967335	0.00244313550686112	1.0	0.026457892695315	0.0459898433556718	0.0302876518767541	0.33989859112161	0.232085267567184	0.392822797908109	0.0291194988125421	0.0322948203632426	0.0431862192392053	0.0390738733040445	0.0173702485346625	0.00425561998457405	0.00621133467173553	0.0142553521705062	0.00961518582142099	0.0594086387637085	0.0324787401449072	0.0858713822084899	0.019587489872358	0.0191482512702514	0.0495442677253257	0.00508625565647768	0.00934893717032424	0.00637015396451326	0.498682442776321	0.0297793773781425	0.0102821321483835	0.255183217860601
DL	0.0222650232502874	0.0208061956142244	0.031810994669636	0.0220177148018751	0.00412921517353013	0.0232291663525174	0.0115621915341259	0.0153684993182559	0.0191672538587594	0.0106112692785473	0.0361274118775953	0.0138083806289733	0.026457892695315	1.0	0.0239674262274124	0.0495356468529778	0.0258604012956824	0.0152311147463879	0.0191498221948438	0.01574584236634	0.00979881932118641	0.051572772398667	0.0257676554583897	0.0181827479233589	0.00631322049263296	0.00794765668952039	0.00804299944790058	0.0100556602600006	0.0287050676807902	0.0279794063505915	0.0128706518905295	0.0133265698772064	0.0108201801528941	0.0225226152908631	0.0209758639251077	0.0132721210656123	0.0137857857955398	0.0300343966975931	0.00773614035121846	0.014636148655943	0.0223452996958883
DREF	0.0415009776628116	0.0938818445562404	0.0715100768829008	0.0210945605116841	0.00601994132386263	0.0370337798848664	0.0563606837727752	0.0567847832155263	0.0865096106624045	0.0158144907795879	0.066875285283362	0.0122506297717481	0.0459898433556718	0.0239674262274124	1.0	0.0103725460562567	0.0582759950111018	0.100231168768055	0.0476253365778624	0.0236279663607747	0.0276239800603517	0.0527928187402952	0.0487921876089368	0.0191044202503264	0.00891904444398416	0.00334256199352045	0.0221322396246668	0.022196518617153	0.0496682507044703	0.025193461229715	0.0228097559124915	0.0139544081270258	0.0226740614599025	0.0193112520140893	0.0179282170510321	0.0225986256340848	0.00866584353206472	0.0299480472178922	0.0304977830429523	0.0357819293784833	0.0478941071535963
EIP74EF	0.0243097031895628	0.023338457529261	0.0407770839879948	0.0121829120870791	0.00851288906623938	0.0149833365006378	0.0120098250814726	0.0152351799041948	0.0134106033430651	0.0160826219883608	0.0224534957738014	0.014738422400601	0.0302876518767541	0.0495356468529778	0.0103725460562567	1.0	0.0167145638152696	0.0166284348407837	0.0213013004830208	0.0313372679228729	0.0133320421805315	0.0435624605402858	0.0232582626545405	0.0210712905197592	0.0130899274585837	0.013749155098739	0.0144331959138637	0.00783867767708026	0.00889744281839782	0.0542285085512143	0.0207971076922515	0.0473464418778117	0.0273135667295932	0.0268367502068999	0.0118308856502135	0.02302299209955	0.0117446174490488	0.0243870724091141	0.0156809295217156	0.00828609574463403	0.0292358191548494
EN	0.30138808772411	0.169156236163223	0.432298028278974	0.0145530795868437	0.00343540978666139	0.061452847861052	0.114275403814225	0.0741323118257126	0.234369809199984	0.0121382642294868	0.0500315194905005	0.00161284527486317	0.33989859112161	0.0258604012956824	0.0582759950111018	0.0167145638152696	1.0	0.174223960172598	0.331733320427986	0.00671329186658817	0.0280765809558966	0.0478189450887874	0.0351118044116538	0.0155530422257805	0.00135901020959473	0.0043624714118371	0.0170314438869585	0.0596430318217119	0.0578224453902638	0.0444689335382594	0.0757222070593092	0.00950291239227045	0.0435171341894805	0.0623265073317559	0.00455157859842408	0.00359703582784306	0.00671511478790436	0.370919139521094	0.11911948375093	0.0182985728281168	0.316724026324794
EVE	0.154734707441104	0.168044824571507	0.17310468974787	0.0188469026995135	0.00710465577655515	0.051798239230835	0.0374280797342679	0.073605058105801	0.116365798812037	0.0286155306969357	0.0467566190227858	0.00568130095884703	0.232085267567184	0.0152311147463879	0.100231168768055	0.0166284348407837	0.174223960172598	1.0	0.174440757826366	0.0340119123391373	0.0637855488489362	0.0387849217359848	0.0228453994614651	0.0109604907036426	0.00671422428239309	0.00658901923978055	0.0556598544216121	0.0147934740031728	0.0673660632247745	0.0128230267714707	0.0391604486629329	0.00852252566349038	0.0153878198647509	0.030937895367775	0.00708513604522323	0.00935286803871703	0.0245804213906949	0.215541734455239	0.0517352352987357	0.00777245864369398	0.145372955941242
FTZ	0.251593633081921	0.167616132716171	0.302888203459307	0.0340877704754457	0.00842993105948213	0.043417397276715	0.140685152578453	0.0752107834438701	0.118928849624222	0.019750952530301	0.064559456965518	0.00216051094411279	0.392822797908109	0.0191498221948438	0.0476253365778624	0.0213013004830208	0.331733320427986	0.174440757826366	1.0	0.0217070523961736	0.0518511531791864	0.0987001900849562	0.0467397057917254	0.0230465833963415	0.00381000702973677	0.00601419998618999	0.0203000353426223	0.0302954171163418	0.0664342763115609	0.0300636098868969	0.0647108676751162	0.0126574456018927	0.036564021327127	0.0480961548953791	0.00597705369751271	0.00889481353047332	0.0106910905439128	0.448704643408648	0.0307174881868717	0.0104116025486772	0.393794331741458
GRH	0.00358274491575427	0.0093966051594436	0.00561839700435675	0.0143079047703425	0.00786782095707777	0.007326670871802	0.0060200158905959	0.0327328176482107	0.0767962757488628	0.00597983617306617	0.0254975730929629	0.00546372616688991	0.0291194988125421	0.01574584236634	0.0236279663607747	0.0313372679228729	0.00671329186658817	0.0340119123391373	0.0217070523961736	1.0	0.0153652989451889	0.0258718229250327	0.0226738223373725	0.044489518980291	0.01251695671875	0.00703433134874614	0.00875185946736963	0.00762420445478286	0.0100152597164203	0.00396506476651462	0.0195598534395275	0.0699326347495036	0.0123957071313398	0.00515667490468345	0.00853413224842852	0.0196348266231961	0.0380320665944192	0.0113065026163649	0.00227629821291781	0.00661483314264497	0.0132774809551222
GT	0.0503062713137747	0.134323068772741	0.106535811806198	0.0201195807631287	0.00895171751892045	0.0969079047330616	0.109068278778312	0.0549337926239352	0.063096481894517	0.0145377801399297	0.143611309892589	0.00262925600494524	0.0322948203632426	0.00979881932118641	0.0276239800603517	0.0133320421805315	0.0280765809558966	0.0637855488489362	0.0518511531791864	0.0153652989451889	1.0	0.225775244268256	0.028351187015097	0.0264715170783604	0.00407135665571271	0.00509952134527443	0.0104556695265255	0.0157211163559555	0.070698340547505	0.0207909691983432	0.0369813083918631	0.0107915717998923	0.0212490655472009	0.0365463116591324	0.0117032897244175	0.00624346550636597	0.0120744111789223	0.0360690777941388	0.0143375693476561	0.0242037083715057	0.0744795131803909
HB	0.055278544442261	0.135722681447679	0.0905222619436324	0.0245415987436127	0.00695865462740432	0.14185036005548	0.0744964690348641	0.0827285281526163	0.0927395838294913	0.0215048679292949	0.203758828817627	0.013040067142005	0.0431862192392053	0.051572772398667	0.0527928187402952	0.0435624605402858	0.0478189450887874	0.0387849217359848	0.0987001900849562	0.0258718229250327	0.225775244268256	1.0	0.0515091257246323	0.0504227076728249	0.00379747025204112	0.00564816739088151	0.0129461694284379	0.112449820223954	0.0544356742443353	0.0302151152134569	0.0507103244070444	0.0131093640042231	0.0352416955328966	0.0411981671981059	0.0249989330401769	0.00993873146735716	0.0177153615383766	0.0437291381595827	0.0568973312356947	0.0165691286534165	0.154458411287861
KNI	0.0358513886690158	0.0340948340442012	0.0533351631123085	0.0213079203345138	0.0184052148839321	0.0329382549357974	0.0690087823116654	0.0337859045707633	0.0328240886692833	0.0243274468821205	0.0297094056366277	0.010629466329528	0.0390738733040445	0.0257676554583897	0.0487921876089368	0.0232582626545405	0.0351118044116538	0.0228453994614651	0.0467397057917254	0.0226738223373725	0.028351187015097	0.0515091257246323	1.0	0.0266356064187049	0.00871535697381184	0.00648369155893712	0.0192295778211077	0.0356287789295535	0.0272366048706306	0.0208645771705038	0.0218327001291254	0.0172758380566384	0.0251820920936697	0.0218967034809383	0.0444482180570914	0.0214061467876785	0.0183483314042577	0.0566810191363269	0.0164735662537873	0.028132415024811	0.0415413681916874
KR	0.0131761343158522	0.024001789667351	0.0240697614549623	0.0636776651481465	0.00388606601735437	0.0205803099159074	0.0139353965591102	0.0339975337115963	0.0282957787397415	0.0244440408192512	0.0214588996333624	0.0187859780469641	0.0173702485346625	0.0181827479233589	0.0191044202503264	0.0210712905197592	0.0155530422257805	0.0109604907036426	0.0230465833963415	0.044489518980291	0.0264715170783604	0.0504227076728249	0.0266356064187049	1.0	0.00739463752747161	0.00407276927960682	0.0434294634205448	0.0247036414663479	0.020906441204721	0.0194167968580515	0.0172768371206975	0.0654842892690519	0.0282760685861294	0.0330516139977756	0.00940392454141846	0.041962900908681	0.0291259427196053	0.0130111189447926	0.0113453749474872	0.0233543960417944	0.0280271123499294
MAD	0.000388401384185248	0.00158782703678607	0.00144426131785866	0.00797266444550739	0.125320976533483	0.00117205022173481	0.00234708670854468	0.00146926245270787	0.000990083364500704	0.0143721763183647	0.00471808567437084	0.0644902346114063	0.00425561998457405	0.00631322049263296	0.00891904444398416	0.0130899274585837	0.00135901020959473	0.00671422428239309	0.00381000702973677	0.01251695671875	0.00407135665571271	0.00379747025204112	0.00871535697381184	0.00739463752747161	1.0	0.0776694264924963	0.0352219737812654	0.00113954291557047	0.018953480761752	0.00202410325862133	0.0104125323420447	0.0101721914206862	0.00544325598700812	0.0021965868587347	0.0100782330934221	0.0149694465936621	0.0105530302452664	0.00223966657491586	0.000684617241150371	0.0180046572107275	0.00110345486396403
MED	0.0024848271212176	0.00310194727169197	0.00429175948642594	0.00672821757398877	0.0912786361336377	0.00299433967043273	0.00406781217063443	0.00171745962123718	0.00225901760393624	0.0159071308950953	0.01071741908637	0.037278190728243	0.00621133467173553	0.00794765668952039	0.00334256199352045	0.013749155098739	0.0043624714118371	0.00658901923978055	0.00601419998618999	0.00703433134874614	0.00509952134527443	0.00564816739088151	0.00648369155893712	0.00407276927960682	0.0776694264924963	1.0	0.0137287459652557	0.00110737501407805	0.0139944759802318	0.00460352508939662	0.0072986517439973	0.0173824156522767	0.010187728397311	0.0024977807320527	0.00477562321707972	0.0194665419119865	0.0207624488450342	0.00632166865039108	0.00346195024227308	0.00884203742608781	0.00335587829610176
OVO	0.00655177317133477	0.00185089629966045	0.0122083391287421	0.0160545941419575	0.0140171378294084	0.0118701287679661	0.029803864257616	0.011307901953829	0.0253624031032179	0.00955450615761789	0.0172882388597156	0.00707251202481107	0.0142553521705062	0.00804299944790058	0.0221322396246668	0.0144331959138637	0.0170314438869585	0.0556598544216121	0.0203000353426223	0.00875185946736963	0.0104556695265255	0.0129461694284379	0.0192295778211077	0.0434294634205448	0.0352219737812654	0.0137287459652557	1.0	0.000543304889833106	0.0235553361595497	0.00207575668112402	0.0185929118210597	0.0432879779910545	0.0328195222575638	0.0259731121174776	0.00649907875245949	0.0170734590264831	0.0320878809834769	0.00659093004368942	0.012957151969478	0.00779704374292572	0.0139933556566369
PAN	0.0104427319499738	0.0158974990488115	0.0556166780836928	0.0238869534188739	0.00200244154346687	0.0826331464730483	0.0191224280252651	0.0374939045322522	0.066980888919139	0.00628149787584269	0.0485252103574045	0.00300057782969509	0.00961518582142099	0.0100556602600006	0.022196518617153	0.00783867767708026	0.0596430318217119	0.0147934740031728	0.0302954171163418	0.00762420445478286	0.0157211163559555	0.112449820223954	0.0356287789295535	0.0247036414663479	0.00113954291557047	0.00110737501407805	0.000543304889833106	1.0	0.0146703855346029	0.0437528870838142	0.0294818761530748	0.00323790448129959	0.024788814372605	0.0255217422199271	0.00550212115768879	0.00791904744231448	0.0421254839359343	0.0224026295824287	0.0276724717888322	0.00221494539207525	0.0546295547806235
PRD	0.0517200286081612	0.0908151556893652	0.0643653812738554	0.0275384902981063	0.0544798773709851	0.0438396471175077	0.0402598954122737	0.0249736219517259	0.0380493765132268	0.0704426474300691	0.0594808897142454	0.0090912173519193	0.0594086387637085	0.0287050676807902	0.0496682507044703	0.00889744281839782	0.0578224453902638	0.0673660632247745	0.0664342763115609	0.0100152597164203	0.070698340547505	0.0544356742443353	0.0272366048706306	0.020906441204721	0.018953480761752	0.0139944759802318	0.0235553361595497	0.0146703855346029	1.0	0.0101312384556881	0.0639590745569981	0.0189508224154248	0.0263607804132313	0.0129189938648161	0.0144381510184332	0.00434574082957795	0.0256118950242261	0.0698192705317664	0.0143259094352374	0.0249798904833576	0.027308309832513
SD	0.0115077039664628	0.0301686358759017	0.0443114137959294	0.00702741512985377	0.00501663339659108	0.0347893822755284	0.0216270819941205	0.0273195556573338	0.0201111950864554	0.0142064418796811	0.01513629348135	0.011068322983613	0.0324787401449072	0.0279794063505915	0.025193461229715	0.0542285085512143	0.0444689335382594	0.0128230267714707	0.0300636098868969	0.00396506476651462	0.0207909691983432	0.0302151152134569	0.0208645771705038	0.0194167968580515	0.00202410325862133	0.00460352508939662	0.00207575668112402	0.0437528870838142	0.0101312384556881	1.0	0.0198002455394621	0.0083266101467026	0.0186914091750849	0.0185868561475757	0.0051756518788925	0.00685986285550282	0.0220066773027493	0.041212934538028	0.00546628122999452	0.00600431280739371	0.0371167194033593
SLBO	0.033053511868313	0.0424095141033252	0.0787617681224771	0.0147015757622565	0.0430238008957372	0.0608876874795313	0.0279281990576167	0.0202272698040316	0.047343951273911	0.0539904320161238	0.0502953445757753	0.0114089959340888	0.0858713822084899	0.0128706518905295	0.0228097559124915	0.0207971076922515	0.0757222070593092	0.0391604486629329	0.0647108676751162	0.0195598534395275	0.0369813083918631	0.0507103244070444	0.0218327001291254	0.0172768371206975	0.0104125323420447	0.0072986517439973	0.0185929118210597	0.0294818761530748	0.0639590745569981	0.0198002455394621	1.0	0.022617555007595	0.0252219320771767	0.00786457164632477	0.00509057821655319	0.00920641607316629	0.02873591466893	0.0629434949134847	0.0486212122961269	0.0207289850258516	0.0489240828846722
SNA	0.00306143010775611	0.00623559291767189	0.0219965739585935	0.00662814708745528	0.011459140803596	0.0108425265102607	0.0176065769131753	0.0165403422207987	0.0147900082569021	0.0506818557383358	0.00701195191367306	0.0104217343555539	0.019587489872358	0.0133265698772064	0.0139544081270258	0.0473464418778117	0.00950291239227045	0.00852252566349038	0.0126574456018927	0.0699326347495036	0.0107915717998923	0.0131093640042231	0.0172758380566384	0.0654842892690519	0.0101721914206862	0.0173824156522767	0.0432879779910545	0.00323790448129959	0.0189508224154248	0.0083266101467026	0.022617555007595	1.0	0.113450613348089	0.00936627280489823	0.0136575147717152	0.0163440045217973	0.103165987260988	0.0040404847040857	0.0189259606790619	0.0355144968032391	0.014416551670407
TIN	0.0156543778076371	0.0277382492527049	0.0375212361441043	0.0148865380208394	0.0186099169978579	0.0144481720953549	0.0226466884229096	0.0201828743640626	0.0232433011949337	0.11196933713579	0.0259929525158111	0.0135349773303135	0.0191482512702514	0.0108201801528941	0.0226740614599025	0.0273135667295932	0.0435171341894805	0.0153878198647509	0.036564021327127	0.0123957071313398	0.0212490655472009	0.0352416955328966	0.0251820920936697	0.0282760685861294	0.00544325598700812	0.010187728397311	0.0328195222575638	0.024788814372605	0.0263607804132313	0.0186914091750849	0.0252219320771767	0.113450613348089	1.0	0.0331488650510485	0.0114005902078886	0.0114108487011683	0.0563623171660298	0.0137479305949145	0.0262518177550592	0.0654050352865752	0.0455646904841593
TLL	0.0455936819641402	0.0126897674320912	0.0506800156549866	0.0144437742917458	0.00342879889115394	0.019258881472755	0.0118823072196604	0.0160658757895513	0.0272412695281879	0.0096892500663707	0.0287442418591917	0.00430525704114455	0.0495442677253257	0.0225226152908631	0.0193112520140893	0.0268367502068999	0.0623265073317559	0.030937895367775	0.0480961548953791	0.00515667490468345	0.0365463116591324	0.0411981671981059	0.0218967034809383	0.0330516139977756	0.0021965868587347	0.0024977807320527	0.0259731121174776	0.0255217422199271	0.0129189938648161	0.0185868561475757	0.00786457164632477	0.00936627280489823	0.0331488650510485	1.0	0.00587951003282946	0.00561920532360192	0.00370646385780102	0.0402636583683692	0.00837447203036221	0.00619037805310249	0.0699715724524596
TRL	0.00249668596381689	0.00627866865992589	0.00801377967898712	0.00375482130797055	0.0115888504989346	0.0112559786736675	0.00927444239654215	0.00535706718632489	0.00529658528793375	0.0560906255414587	0.0109624794422239	0.00714032390725053	0.00508625565647768	0.0209758639251077	0.0179282170510321	0.0118308856502135	0.00455157859842408	0.00708513604522323	0.00597705369751271	0.00853413224842852	0.0117032897244175	0.0249989330401769	0.0444482180570914	0.00940392454141846	0.0100782330934221	0.00477562321707972	0.00649907875245949	0.00550212115768879	0.0144381510184332	0.0051756518788925	0.00509057821655319	0.0136575147717152	0.0114005902078886	0.00587951003282946	1.0	0.00831847786747574	0.00526888253074648	0.00461362511216229	0.00221142829146111	0.0756862604984216	0.00434794573168266
TTK	0.00384614206954573	0.0125599395549819	0.0084572463080673	0.00461447893112769	0.00636434085676895	0.0236011185741783	0.00743855351263014	0.00474962531470235	0.00419880749396113	0.00944665093211696	0.00468482124878242	0.0186517521241791	0.00934893717032424	0.0132721210656123	0.0225986256340848	0.02302299209955	0.00359703582784306	0.00935286803871703	0.00889481353047332	0.0196348266231961	0.00624346550636597	0.00993873146735716	0.0214061467876785	0.041962900908681	0.0149694465936621	0.0194665419119865	0.0170734590264831	0.00791904744231448	0.00434574082957795	0.00685986285550282	0.00920641607316629	0.0163440045217973	0.0114108487011683	0.00561920532360192	0.00831847786747574	1.0	0.011427679846209	0.00454515444041446	0.00520680938705382	0.010368180421578	0.00340676787548579
TWI	0.00271195539989184	0.00897767850317417	0.00958495452323404	0.00448405622561993	0.00758877890158013	0.0146669514092388	0.0188423796900925	0.0162768432814333	0.0196006092311651	0.0840519689522044	0.0139062276136224	0.00904497054755045	0.00637015396451326	0.0137857857955398	0.00866584353206472	0.0117446174490488	0.00671511478790436	0.0245804213906949	0.0106910905439128	0.0380320665944192	0.0120744111789223	0.0177153615383766	0.0183483314042577	0.0291259427196053	0.0105530302452664	0.0207624488450342	0.0320878809834769	0.0421254839359343	0.0256118950242261	0.0220066773027493	0.02873591466893	0.103165987260988	0.0563623171660298	0.00370646385780102	0.00526888253074648	0.011427679846209	1.0	0.0096307815471579	0.0127694323643898	0.0086579846828897	0.0111036731306722
