	ABD_A	ANTP	AP	BCD	BRK	BR_Z1	BR_Z2	BR_Z3	BR_Z4	BYN	CAD	DEAF1	DFD	DL	DREF	EIP74EF	EN	EVE	FTZ	GRH	GT	HB	KNI	KR	MAD	MED	OVO	PAN	PRD	SD	SLBO	SNA	TIN	TLL	TRL	TTK	TWI	UBX	VVL	Z	ZEN
ABD_A	1.0	0.287638603180039	0.436901823238117	0.0391514556907403	0.000781736995061437	0.0233736066364915	0.0599416912619646	0.0878448657527621	0.181185541861325	0.00604722224886075	0.0723454534935958	0.000142663882404255	0.285850028802418	0.0222650232502874	0.0415009776628116	0.0243097031895628	0.30138808772411	0.154734707441104	0.251593633081921	0.00358274491575427	0.0503062713137747	0.055278544442261	0.0358513886690158	0.0131761343158522	0.000388401384185248	0.0024848271212176	0.00655177317133477	0.0104427319499738	0.0517200286081612	0.0115077039664628	0.033053511868313	0.00306143010775611	0.0156543778076371	0.0455936819641402	0.00249668596381689	0.00384614206954573	0.00271195539989184	0.369022450153433	0.100621390150797	0.00175337968106821	0.339058930424527
ANTP	0.287638603180039	1.0	0.522273393893562	0.0498667481400594	0.00258605278405346	0.111167851054709	0.0592329858272998	0.103108970078151	0.168653698542623	0.0127961338571816	0.103659815146331	0.000769074058086053	0.170553938755777	0.0208061956142244	0.0938818445562404	0.023338457529261	0.169156236163223	0.168044824571507	0.167616132716171	0.0093966051594436	0.134323068772741	0.135722681447679	0.0340948340442012	0.024001789667351	0.00158782703678607	0.00310194727169197	0.00185089629966045	0.0158974990488115	0.0908151556893652	0.0301686358759017	0.0424095141033252	0.00623559291767189	0.0277382492527049	0.0126897674320912	0.00627866865992589	0.0125599395549819	0.00897767850317417	0.118961659915714	0.119613993321022	0.0051682350093204	0.425419486793017
AP	0.436901823238117	0.522273393893562	1.0	0.0578902863289539	0.00296626496322264	0.114005426888159	0.121155851958266	0.104425847126035	0.243740427229466	0.0154291284673665	0.0608968151286707	0.00811541462140331	0.3083218182756	0.031810994669636	0.0715100768829008	0.0407770839879948	0.432298028278974	0.17310468974787	0.302888203459307	0.00561839700435675	0.106535811806198	0.0905222619436324	0.0533351631123085	0.0240697614549623	0.00144426131785866	0.00429175948642594	0.0122083391287421	0.0556166780836928	0.0643653812738554	0.0443114137959294	0.0787617681224771	0.0219965739585935	0.0375212361441043	0.0506800156549866	0.00801377967898712	0.0084572463080673	0.00958495452323404	0.280545042362183	0.165043305286164	0.0281662563195016	0.496708291269469
BCD	0.0391514556907403	0.0498667481400594	0.0578902863289539	1.0	0.00933586830243787	0.0388283687857496	0.0157420878478387	0.0201620508730422	0.0364226353409376	0.00903893759961487	0.0271804631407941	0.0144269086181984	0.0204516659036597	0.0220177148018751	0.0210945605116841	0.0121829120870791	0.0145530795868437	0.0188469026995135	0.0340877704754457	0.0143079047703425	0.0201195807631287	0.0245415987436127	0.0213079203345138	0.0636776651481465	0.00797266444550739	0.00672821757398877	0.0160545941419575	0.0238869534188739	0.0275384902981063	0.00702741512985377	0.0147015757622565	0.00662814708745528	0.0148865380208394	0.0144437742917458	0.00375482130797055	0.00461447893112769	0.00448405622561993	0.0123459856714176	0.0130698196862076	0.0133777271779757	0.0649915943197677
BRK	0.000781736995061437	0.00258605278405346	0.00296626496322264	0.00933586830243787	1.0	0.00125150772194689	0.00553598088993832	0.00162952145036788	0.00206327411645832	0.0214932625296772	0.00691017406912948	0.0416803624637374	0.00853080664000067	0.00412921517353013	0.00601994132386263	0.00851288906623938	0.00343540978666139	0.00710465577655515	0.00842993105948213	0.00786782095707777	0.00895171751892045	0.00695865462740432	0.0184052148839321	0.00388606601735437	0.125320976533483	0.0912786361336377	0.0140171378294084	0.00200244154346687	0.0544798773709851	0.00501663339659108	0.0430238008957372	0.011459140803596	0.0186099169978579	0.00342879889115394	0.0115888504989346	0.00636434085676895	0.00758877890158013	0.00511788393165851	0.000748493473724904	0.0214331355735574	0.00265340878045972
BR_Z1	0.0233736066364915	0.111167851054709	0.114005426888159	0.0388283687857496	0.00125150772194689	1.0	0.0528820164297848	0.0954500096949856	0.110721184850273	0.0340526750559779	0.0913047387163877	0.00405020802864595	0.0451739561728661	0.0232291663525174	0.0370337798848664	0.0149833365006378	0.061452847861052	0.051798239230835	0.043417397276715	0.007326670871802	0.0969079047330616	0.14185036005548	0.0329382549357974	0.0205803099159074	0.00117205022173481	0.00299433967043273	0.0118701287679661	0.0826331464730483	0.0438396471175077	0.0347893822755284	0.0608876874795313	0.0108425265102607	0.0144481720953549	0.019258881472755	0.0112559786736675	0.0236011185741783	0.0146669514092388	0.0347248823919173	0.0337682193381573	0.00572946360246434	0.0726638942062505
BR_Z2	0.0599416912619646	0.0592329858272998	0.121155851958266	0.0157420878478387	0.00553598088993832	0.0528820164297848	1.0	0.170889809287608	0.215408778948479	0.0250302607950079	0.0472762718986359	0.00918745157981499	0.115727351632907	0.0115621915341259	0.0563606837727752	0.0120098250814726	0.114275403814225	0.0374280797342679	0.140685152578453	0.0060200158905959	0.109068278778312	0.0744964690348641	0.0690087823116654	0.0139353965591102	0.00234708670854468	0.00406781217063443	0.029803864257616	0.0191224280252651	0.0402598954122737	0.0216270819941205	0.0279281990576167	0.0176065769131753	0.0226466884229096	0.0118823072196604	0.00927444239654215	0.00743855351263014	0.0188423796900925	0.107753800562937	0.170694551043534	0.00776599426556605	0.058598599715612
BR_Z3	0.0878448657527621	0.103108970078151	0.104425847126035	0.0201620508730422	0.00162952145036788	0.0954500096949856	0.170889809287608	1.0	0.216074365643475	0.0109078813927755	0.0488260945860407	0.00261877984949466	0.0901471087266034	0.0153684993182559	0.0567847832155263	0.0152351799041948	0.0741323118257126	0.073605058105801	0.0752107834438701	0.0327328176482107	0.0549337926239352	0.0827285281526163	0.0337859045707633	0.0339975337115963	0.00146926245270787	0.00171745962123718	0.011307901953829	0.0374939045322522	0.0249736219517259	0.0273195556573338	0.0202272698040316	0.0165403422207987	0.0201828743640626	0.0160658757895513	0.00535706718632489	0.00474962531470235	0.0162768432814333	0.0770988552293185	0.0582096503202957	0.0119109845004365	0.0803191125877852
BR_Z4	0.181185541861325	0.168653698542623	0.243740427229466	0.0364226353409376	0.00206327411645832	0.110721184850273	0.215408778948479	0.216074365643475	1.0	0.00953427401745819	0.0531195432435385	0.00526764326024813	0.203351466472742	0.0191672538587594	0.0865096106624045	0.0134106033430651	0.234369809199984	0.116365798812037	0.118928849624222	0.0767962757488628	0.063096481894517	0.0927395838294913	0.0328240886692833	0.0282957787397415	0.000990083364500704	0.00225901760393624	0.0253624031032179	0.066980888919139	0.0380493765132268	0.0201111950864554	0.047343951273911	0.0147900082569021	0.0232433011949337	0.0272412695281879	0.00529658528793375	0.00419880749396113	0.0196006092311651	0.176414005747691	0.195158955907007	0.00551956055915473	0.171059931443819
BYN	0.00604722224886075	0.0127961338571816	0.0154291284673665	0.00903893759961487	0.0214932625296772	0.0340526750559779	0.0250302607950079	0.0109078813927755	0.00953427401745819	1.0	0.0384083691658299	0.023722386501684	0.0169406226376544	0.0106112692785473	0.0158144907795879	0.0160826219883608	0.0121382642294868	0.0286155306969357	0.019750952530301	0.00597983617306617	0.0145377801399297	0.0215048679292949	0.0243274468821205	0.0244440408192512	0.0143721763183647	0.0159071308950953	0.00955450615761789	0.00628149787584269	0.0704426474300691	0.0142064418796811	0.0539904320161238	0.0506818557383358	0.11196933713579	0.0096892500663707	0.0560906255414587	0.00944665093211696	0.0840519689522044	0.0173313565497821	0.0184283605908155	0.0909250248727326	0.0106608123065554
