factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
ABD_A	-12.9159272909495	9.29187851415928	-28.090873309316	-7.53036869389364	-2.14481009683782	3.240748500218	41	5	24	-16.7316638566344	7.10908839678989	10	4	1	12.1951219512195	9.75609756097561	2.4390243902439	46.3414634146341	3.24	0
ANTP	-11.115470026411	9.01054178688142	-22.0583612909429	-6.56658609974063	-2.01770217307027	2.53118175360009	12	0	6	-6.09593581833984	4.93265335326567				0.0	0.0	0.0	50.0	2.53	0
AP	-9.77701745160922	9.42767608005835	-21.4731871982975	-5.38513768517932	-0.993257918749414	3.39862184768049	14	4	12	-9.74247399933154	6.52892474041645	10	4	2	28.5714285714286	28.5714285714286	14.2857142857143	57.1428571428571	3.4	0
BCD	-14.2503921179054	10.1069065979361	-27.3485096251684	-8.71400617017294	-3.17762022244047	2.35876572529199	48	8	23	-15.1859326677542	9.62962970597898	10	8	6	16.6666666666667	16.6666666666667	12.5	31.25	2.36	0
CAD	-7.59686660651585	7.87531028980299	-18.6402594090619	-3.78662215504032	0.0236222964352102	3.83386674791074	13	4	10	-7.14345439705785	5.43052124022414	10	4	2	30.7692307692308	30.7692307692308	15.3846153846154	46.1538461538462	3.83	4
DFD	-9.95396218166698	9.06667376826752	-20.0458586669151	-5.66919023575736	-1.38441828984774	2.90035365606188	16	1	13	-7.31372254217605	8.48664650675932	10	1	1	6.25	6.25	6.25	75.0	2.9	0
EN	-15.0130043942821	9.00983361261651	-27.4326373349851	-9.30145479797783	-3.58990520167359	2.12164439463066	56	6	31	-19.4460141242425	8.99535776533742	10	5	2	10.7142857142857	8.92857142857143	3.57142857142857	44.6428571428571	2.12	0
EVE	-9.22762352222594	8.426949657618	-23.7458014161357	-4.82675798744542	-0.425892452664911	3.9749730821156	20	0	9	-3.9686588983141	6.0443698297675				0.0	0.0	0.0	45.0	3.97	3
FTZ	-16.0059167922139	9.36680270173773	-31.5269340159534	-9.86032797923902	-3.71473916626412	2.43084964671079	66	6	48	-15.3223398271624	8.12687922832767	10	6	4	9.09090909090909	9.09090909090909	6.06060606060606	63.6363636363636	2.43	0
TIN	-9.92779302127768	10.7575820870034	-21.7642134681352	-5.500892468017	-1.07399191475633	3.35290863850435	11	2	2	-11.4768070608904	10.7575820870034	10	2	2	18.1818181818182	18.1818181818182	18.1818181818182	0.0	3.35	0
UBX	-16.8191258706785	9.45695137081565	-30.9100094553144	-10.623336433522	-4.42754699636545	1.7682424407911	60	5	32	-20.0980596623277	8.72680596021722	10	3	2	8.33333333333333	5.0	3.33333333333333	45.0	1.77	0
ZEN	-11.0048815338581	9.43002361322652	-21.1210251621526	-6.43594448085133	-1.86700742784453	2.70192962516226	12	0	6	-2.27535307196733	6.20394655660898				0.0	0.0	0.0	50.0	2.7	0
