factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
ABD_A	-7.58994577720704	5.95267047215056	-19.4383067937419	-3.3301838084225	0.929578160362036	5.18934012914657	41	1	26	-12.3332640558165	5.95267047215056	6	1	0	2.4390243902439	2.4390243902439	0.0	60.9756097560976	5.19	25
ANTP	-7.61193061018598	6.00745089643155	-15.3896961447692	-3.85279945648825	-0.0936683027905243	3.6654628509072	12	0	1	-1.41661559455535	6.00745089643155				0.0	0.0	0.0	8.33333333333333	3.67	0
AP	-6.03324086695415	5.49780312866138	-12.7638443718932	-2.77586617077917	0.481508525395819	3.7388832215708	14	0	7	0.0192124382824495	5.49780312866138				0.0	0.0	0.0	50.0	3.74	4
BCD	-8.99575995612598	7.75612281568865	-22.063917616833	-4.43426414755525	0.127231661015488	4.68872746958622	48	2	19	-10.6953481444716	7.35646958478743	8	2	2	4.16666666666667	4.16666666666667	4.16666666666667	35.4166666666667	4.69	16
BRK	-7.73448847434422	8.7340889354205	-16.7852669095886	-3.55572859301472	0.623031288314785	4.80179116964428	10	0	1	1.4130591832434	8.7340889354205				0.0	0.0	0.0	10.0	4.8	0
BR_Z1	-8.01250055827122	7.29381949496974	-23.1229740631694	-3.68041470918228	0.651671139906663	4.98375698899561	17	0	8	-3.38626717261007	7.242482421537				0.0	0.0	0.0	47.0588235294118	4.98	5
BR_Z2	-7.00240633675477	6.17981797184005	-15.4512145846163	-3.31261652615576	0.377173284443245	4.06696309504225	21	0	7	1.2125175705729	6.06589936226544				0.0	0.0	0.0	33.3333333333333	4.07	5
BR_Z3	-9.07586159063481	8.66509236190833	-28.1678936619961	-4.46827443549814	0.139312719638529	4.7468998747752	16	0	9	-3.41343785284855	8.20011915245969				0.0	0.0	0.0	56.25	4.75	6
BR_Z4	-7.38181776136345	7.07691924930853	-17.5777966186898	-3.68118652151478	0.0194447183338786	3.72007595818254	8	0	2	2.87464783491207	7.07691924930853				0.0	0.0	0.0	25.0	3.72	1
BYN	-7.08538025813622	8.30305207095462	-18.4206807439524	-3.27443910157961	0.536502054977012	4.34744321153363	9	0	1	2.37288301280803	8.30305207095462				0.0	0.0	0.0	11.1111111111111	4.35	0
