factor id	average score	best score	worst score	avg+sigma	avg+2sigma	avg+3sigma	sequence count	sequences w/o score > average+sigma	sequences w/o scores > average+3sigma	worst site in the set	best site in the set	flank length	sites appearing on <flank length>	sites apperaring on 2bp flanks	% w/o sites	% sites in flanks	% sites in 2bp flanks	% weak sites	threshold	weak words in the 'ready' motif
AP	-6.90403694239401	5.0955120086592	-11.0930333931185	-3.51560978451188	-0.127182626629748	3.26124453125238	14	0	6	-2.71504049166956	4.81179180809911				0.0	0.0	0.0	42.8571428571429	3.26	0
BCD	-9.99622935548826	10.3667554496626	-24.525214844484	-5.33596619594354	-0.675703036398826	3.98456012314589	48	26	33	-16.0544728487211	8.04223661864016	11	26	22	54.1666666666667	54.1666666666667	45.8333333333333	14.5833333333333	3.98	0
BRK	-8.65662173535442	8.84771951714325	-16.7852669095886	-4.42693421426979	-0.197246693185159	4.03244082789947	10	0	1	2.20025992053455	8.84771951714325				0.0	0.0	0.0	10.0	4.03	0
BR_Z1	-18.7441964263838	11.9726610352913	-34.684461094754	-12.6065250445324	-6.46885366268109	-0.331182280829733	17	1	12	-14.9637254097711	11.3822475362844	12	0	0	5.88235294117647	0.0	0.0	64.7058823529412	-0.33	0
BR_Z2	-18.6030585813041	11.0704721735817	-30.9104245335832	-12.6991605904291	-6.79526259955407	-0.891364608679048	21	0	10	-9.76983912045287	6.46619111872451				0.0	0.0	0.0	47.6190476190476	-0.89	0
BR_Z3	-12.9125429331127	8.0433429941209	-25.498920096506	-7.70968190353507	-2.50682087395743	2.6960401556202	16	0	8	-4.36020429586738	8.0433429941209				0.0	0.0	0.0	50.0	2.7	0
BR_Z4	-7.68139913574438	7.02515715677885	-15.3805720413535	-3.83828743035755	0.00482427502927951	3.84793598041611	8	0	6	0.104626804683373	6.45298683320604				0.0	0.0	0.0	75.0	3.85	0
BYN	-11.260352941321	10.1582473932864	-23.276758004839	-6.49892699903725	-1.73750105675348	3.02392488553029	9	0	3	-2.87533868415973	9.88457898503109				0.0	0.0	0.0	33.3333333333333	3.02	0
CAD	-10.0107369317797	7.4600842059567	-15.8343439776916	-5.89063598420139	-1.77053503662309	2.3495659109552	13	0	8	-4.33619610970896	7.4600842059567				0.0	0.0	0.0	61.5384615384615	2.35	0
DL	-19.0377981853925	13.4147011653558	-37.7336173930829	-12.5829816299706	-6.1281650745487	0.326651480873181	38	1	18	-13.826849689911	11.688368985271	11	1	1	2.63157894736842	2.63157894736842	2.63157894736842	44.7368421052632	0.33	0
DREF	-11.3237090980194	9.96720583977748	-18.4206807439524	-6.9748582703959	-2.62600744277237	1.72284338485115	9	0	2	-0.456497326639519	9.96720583977748				0.0	0.0	0.0	22.2222222222222	1.72	0
EIP74EF	-8.70115001817315	15.0565890301838	-22.2254320034572	-4.59202742242162	-0.482904826670095	3.62621776908143	8	4	5	-9.87936594958449	6.56030159558884	17	4	3	50.0	50.0	37.5	12.5	3.63	0
EN	-11.5610686317189	6.75741195906354	-22.4545593815447	-6.68624576599603	-1.81142290027316	3.06339996544971	56	3	22	-14.1075196244386	6.75741195906354	6	2	1	5.35714285714286	3.57142857142857	1.78571428571429	33.9285714285714	3.06	0
EVE	-18.2074723591187	11.3521318785514	-30.4452243772342	-12.3471636759231	-6.48685499272752	-0.626546309531953	20	2	14	-21.633340908592	11.0556644585645	10	1	0	10.0	5.0	0.0	60.0	-0.63	0
FTZ	-12.8780942161377	10.6874133494819	-28.2328782317222	-7.54137446600743	-2.20465471587711	3.1320650342532	66	11	45	-12.5632638136558	8.4062063066575	13	10	6	16.6666666666667	15.1515151515152	9.09090909090909	51.5151515151515	3.13	0
GRH	-18.5493585602503	18.2989018957515	-34.66422993236	-12.5098074058074	-6.47025625136445	-0.43070509692151	9	1	7	-13.9671382083718	6.44200131453943	16	1	1	11.1111111111111	11.1111111111111	11.1111111111111	66.6666666666667	-0.43	0
HB	-29.2573125105497	11.6140512526566	-46.4439089914137	-21.095020354858	-12.9327281991663	-4.77043604347469	103	0	43	-17.7172935674495	11.6140512526566				0.0	0.0	0.0	41.747572815534	-4.77	0
KR	-25.3369753423582	13.5113405250984	-38.286413964891	-18.2413766872495	-11.1457780321407	-4.05017937703192	45	1	15	-22.5053632419102	13.5113405250984	10	0	0	2.22222222222222	0.0	0.0	31.1111111111111	-4.05	0
OVO	-7.66150930243435	8.41306313146616	-16.0365091361708	-3.86822047248731	-0.0749316425402755	3.71835718740676	12	0	2	1.63359266747761	8.41306313146616				0.0	0.0	0.0	16.6666666666667	3.72	0
PAN	-23.2271145970898	14.60243487933	-35.8390619182363	-16.6321351163564	-10.037155635623	-3.44217615488963	25	2	18	-26.8866705304868	5.0483714091085	11	2	1	8.0	8.0	4.0	64.0	-3.44	0
SD	-11.3032989292368	7.33612228039319	-21.2359397935333	-6.4876663880795	-1.67203384692225	3.143598694235	19	1	16	-13.2148457468728	6.75863091197014	9	1	0	5.26315789473684	5.26315789473684	0.0	78.9473684210526	3.14	0
SLBO	-11.5602579773724	9.36087469645815	-20.7773681944125	-6.91568335088405	-2.27110872439573	2.37346590209259	12	1	6	-12.9877890204395	8.7996197502283	10	1	0	8.33333333333333	8.33333333333333	0.0	41.6666666666667	2.37	0
SNA	-9.52322037347712	12.1562360794846	-22.8823015118048	-5.16951627580109	-0.815812178125057	3.53789191955097	11	0	5	-5.06393545055629	7.45796424996892				0.0	0.0	0.0	45.4545454545455	3.54	0
TIN	-10.1679165151097	8.50976259982875	-17.394346548516	-5.86820543891865	-1.56849436272763	2.7312167134634	11	1	1	-10.7231449226805	8.50976259982875	7	1	1	9.09090909090909	9.09090909090909	9.09090909090909	0.0	2.73	0
TLL	-16.9501559372636	8.58868560520397	-25.4631031180847	-11.3769537335667	-5.80375152986978	-0.230549326172866	37	0	30	-10.8694793795324	3.72414435901987				0.0	0.0	0.0	81.0810810810811	-0.23	0
