	Bigfoot_motif	Pollard_motif	Down_motif	Bergman_motif	SeSiMCMC_motif	Papatsenko_motif	Noyes_motif	Noyes_hd_motif
Bigfoot_motif	1.0	0.882976442264138	0.611250179956768	0.367681488380934	0.86765376330914	0.542119341941	0.700778053612408	0.398210059570161
Pollard_motif	0.882976442264138	1.0	0.608384092945087	0.374294131050739	0.896534320798708	0.587988387008133	0.735599295966163	0.406989438603316
Down_motif	0.611250179956768	0.608384092945087	1.0	0.307284924290952	0.618319750032715	0.53652194172918	0.628111382676316	0.388389868113112
Bergman_motif	0.367681488380934	0.374294131050739	0.307284924290952	1.0	0.380978955826084	0.402871403419659	0.351145558217186	0.425157173875753
SeSiMCMC_motif	0.86765376330914	0.896534320798708	0.618319750032715	0.380978955826084	1.0	0.574886106051911	0.693532883494128	0.41338196913003
Papatsenko_motif	0.542119341941	0.587988387008133	0.53652194172918	0.402871403419659	0.574886106051911	1.0	0.517027775203073	0.515735862463145
Noyes_motif	0.700778053612408	0.735599295966163	0.628111382676316	0.351145558217186	0.693532883494128	0.517027775203073	1.0	0.386857275305422
Noyes_hd_motif	0.398210059570161	0.406989438603316	0.388389868113112	0.425157173875753	0.41338196913003	0.515735862463145	0.386857275305422	1.0
