	Bigfoot_motif	Pollard_motif	Down_motif	Bergman_motif	SeSiMCMC_motif	Papatsenko_motif	Noyes_motif	Noyes_hd_motif
Bigfoot_motif	1.0	0.277699569667697	0.0786733824301074	0.222851313152805	0.152661272424651	0.16514514451794	0.113143250354234	0.109034644530408
Pollard_motif	0.277699569667697	1.0	0.0423775502073952	0.188635661156031	0.202371563987133	0.185087204266593	0.0706361476997657	0.0786299295057435
Down_motif	0.0786733824301074	0.0423775502073952	1.0	0.103715866643655	0.0698848689821835	0.108345210148538	0.0674528283082595	0.0881387637971385
Bergman_motif	0.222851313152805	0.188635661156031	0.103715866643655	1.0	0.185493678088437	0.417804044968305	0.283632424223536	0.257675874173151
SeSiMCMC_motif	0.152661272424651	0.202371563987133	0.0698848689821835	0.185493678088437	1.0	0.193459717081061	0.0763114960813493	0.0663746162664867
Papatsenko_motif	0.16514514451794	0.185087204266593	0.108345210148538	0.417804044968305	0.193459717081061	1.0	0.17907035744603	0.213541526302409
Noyes_motif	0.113143250354234	0.0706361476997657	0.0674528283082595	0.283632424223536	0.0763114960813493	0.17907035744603	1.0	0.678781172937866
Noyes_hd_motif	0.109034644530408	0.0786299295057435	0.0881387637971385	0.257675874173151	0.0663746162664867	0.213541526302409	0.678781172937866	1.0
